序号,活性成分,来源,动物/细胞模型,效应指标与通路,极化表型,文献
1,小檗碱,黄连、黄柏,关节炎小鼠、LPS-巨噬细胞,AMPK↑、mTORC1↓、HIF-1α↓、糖酵解↓,M1→M2,"[48,49,77]"
2,黄芪甲苷IV,黄芪,脓毒症小鼠、LPS-巨噬细胞,TLR4/MyD88/NF-κB↓、STAT1↓/STAT3↑、NLRP3↓,M1↓、M2↑,"[44,45,47,78]"
3,三七皂苷R1,三七,ox-LDL/LPS-IFN-γ巨噬细胞,JAK1↓、STAT3↓、CD86↓、CD206↑,M1↓、M2功能优化,[46]
4,人参皂苷Rg3,人参,糖尿病ApoE-/-小鼠,PPARγ↑、NF-κB↓、IL-6↓、TNF-α↓、IL-10↑,M1↓、M2↑,[79]
5,薯蓣皂苷,薯蓣,综述转引,mTORC2/PPARγ↑、FAO↑,双向调控,[47]
6,槲皮素,槐米、山楂,糖尿病肾病、LPS-巨噬细胞,TLR4/MyD88/NF-κB↓、IRF5↓、NLRC5/NLRP3↓,M1↓,"[80,81]"
7,葛根素,葛根,心肌炎小鼠、肾损伤,STAT1直接结合↓、TLR4/MyD88↓、JNK/FoxO1↓,M1↓,"[82,83]"
8,黄芩苷,黄芩,LKB1缺陷细胞系,CaMKKβ→AMPK→ACC↑,M1↓,[84]
9,丹参酮IIA,丹参,脑损伤小鼠,ERβ/IL-10↑、STAT6↑、NF-κB↓,M1↓、M2↑,[85]
10,羟基红花黄色素A,红花,LPS-RAW264.7、脑心综合征,XO↓、ZBP1-NLRP3↓、AMPK/mTOR,M1↓,"[86,87]"
11,青藤碱,青风藤,骨关节炎、软骨细胞,Nrf2/HO-1↑、p62/Keap1↓、NF-κB↓,M1↓、M2↑,"[88,89]"
12,白藜芦醇,虎杖、葡萄,骨骼肌炎症、心肌损伤,NF-κB↓、AMPK↑、PI3K/Akt↑,M1↓、M2↑,[90]
13,阿魏酸,当归、川芎,肺损伤小鼠,CD38↓、CD206↑、IL-17A↓,M1→M2,[51]
14,大黄素,大黄,大鼠SAP-ALI模型,PPARγ↑、NF-κB↓、M1极化↓,M1↓,[91]
15,冬凌草甲素,冬凌草,C57BL/6小鼠,NLRP3↓、焦亡↓、肺毛细血管通透性↓,M1↓,[92]
16,银杏叶提取物,银杏叶,肺损伤模型,自噬↑、M1/M2极化调控、浸润↓,M1↓、M2↑,[93]
17,双氢杨梅树皮素,藤茶,ALI小鼠,F4/80+CD11b+浸润↓、M1/M2平衡,M1↓、M2↑,[94]
18,去氢木香内酯,木香,MRSA诱导ALI,p38MAPK/NF-κB↓、AMPK/Nrf2↑,M1↓、M2↑,[95]
19,白芍总苷,白芍,ALI模型,NF-κB↓、中性粒细胞比例↓,M1↓,[96]
20,三七总皂苷,三七,肺损伤模型,STAT6磷酸化↑、IL-10↑,M2↑,[97]
21,丁香酸,丁香,肺损伤模型,M1标志物抑制、M2促进,M1↓、M2↑,[98]
22,姜黄素衍生物L3,姜黄,糖尿病动脉粥样硬化,PPAR信号↑、ROS↓、LOX-1↓,M1↓、M2↑,[99]
23,丹酚酸A,丹参,大鼠主动脉,NF-κB↓、NLRP3↓,M1↓,[100]
24,梓醇,地黄,糖尿病模型,NF-κB↓、血脂↓、炎症因子↓,M1↓,[101]
25,甘草酸,甘草,DM-AS大鼠,RAGE↓、NF-κB↓、斑块数量↓,M1↓、M2↑,[102]
