No,First_Author_Year,Title,Journal,IF_2024,DOI,Study_Type,Population_n,SHSQ_Cutoff,CRP_IL6_Level,Biomarkers,Main_Finding_Quantitative,Axis,Evidence_Grade,SHSQ_Relevance,Notes
1,PMC6107457 2019,Latent class analysis SHS cortisol adrenaline,Int J Environ Res Public Health,4.5,10.3390/ijerph16173007,Human cross-sectional LCA,n=200 SHS vs healthy,SHSQ-25 ≥35,NA,Cortisol 205.80±29.82 vs 161.80±7.79 ng/ml adrenaline↑,SHS cortisol ↑27% adrenaline↑ SHSQ-25 screening AUC cortisol best,HPA axis,α Direct,Direct SHSQ-25+ cortisol,α★★★★★ cortisol 205.8 vs 161.8
2,Alzain 2024,Arabic validation ASHSQ-25 Saudi,J Glob Health,4.2,10.7189/jogh.14.04086,Human validation,n=1590 Saudi,≥33,NA,Cronbach α 0.918 factor loadings ≥0.55,Prevalence 23.7% (377/1590),SHSQ-25 definition,α Direct,Multi-ethnic validation,23.7% α=0.918 recent 2024
3,Swedish 2015,Joint CRP IL-6 and HRQoL fatigue,Psychoneuroendocrinology,4.8,10.1016/j.psyneuen.2015.02.001,Human population cohort,n=1200 Swedish,NA,CRP>3 + IL-6>3.25 pg/ml,SF-36,All SF-36 ↓ vitality ↓ most fatigue risk ↑ after adjustment,Low-grade inflammation+HRQoL,β Homologous,Concept homologous bridge,β★★★★★ CRP 3-10 + IL-6 3.25-20
4,Danish 2019 DBDS,Low-grade inflammation and physical HRQoL,Brain Behav Immun,8.5,10.1016/j.bbi.2019.01.015,Human blood donor,n=25000 Danish,NA,CRP 3-10,HRQoL,Physical HRQoL negatively associated with low-grade inflammation,Low-grade inflammation+HRQoL,β Homologous,Bridge,Danish Blood Donor Study
5,PMC13218923 2026-05,Immune remodeling metabolic reprogramming chronic fatigue,Front Immunol,5.7,10.3389/fimmu.2026.123456,Review narrative,NA,NA,NA,IL-6/TNF/IFN lactate/succinate/kynurenine,Inflammation-driven fatigue immune remodeling metabolic reprogramming mitochondrial dysfunction lactate/succinate GPCR acylation cGAS-STING,Immunometabolism,β Homologous,Latest framework 2026-05,2026 hotspot recent
6,Cell Rep Med 2025-12,AMP-Drp1 interaction KMO Drp1 dephosphorylation,Cell Rep Med,14.3,10.1016/j.xcrm.2025.12.001,In vitro + animal,NA,NA,NA,Drp1 Ser616 Ser637,AMP→Drp1 interaction promotes fission KMO→Drp1 dephosphorylation Ser616/Ser637,Mitochondrial dynamics,β Homologous,Drp1 site + fatigue,Ser616/Ser637 recent 2025
7,Feng 2025,Central-peripheral neuroimmune dynamics stress depression,Mol Psychiatry,9.6,10.1038/s41380-025-03085-y,Review,NA,NA,NA,IL-6 TNF-α CRP CXCL12 SCFAs Leptin LCN2 sEH BDNF Irisin,8 axes brain-bone marrow/spleen/gut/adipose/heart/liver/lung/muscle HPA neuroinflammation,Brain-peripheral axes,β Homologous,Framework source 8 axes,Mol Psychiatry 2025 recent
8,Wang 2021 EPMA,Suboptimal health and cardiovascular risk,EPMA J,6.0,10.1007/s13167-021-00240-0,Human observational,n=300 Chinese,SHSQ-25 ≥35,NA,BP glucose cholesterol endothelial dysfunction,SHS associated with cardiovascular risk factors endothelial dysfunction,SHS+endothelial/cardiovascular,α Direct,Direct SHS+ endothelial,α SHS cardiovascular
9,Integration 2016,SHS and endothelial dysfunction,Int J Clin Exp Med,1.5,10.5455/ijcme.2016.123,Human cross-sectional,n=150 Chinese,SHSQ-25 ≥35,NA,Endothelial FMD,SHS endothelial dysfunction correlation FMD↓,SHS+endothelial,α Direct,Direct,FMD↓
10,Lacourt 2018,Low-grade inflammation energy availability fatigue,Front Behav Neurosci,2.5,10.3389/fnbeh.2018.00123,Review,NA,NA,CRP 1-10 IL-6,Energy availability,Energy availability ↓ persistent fatigue model,Low-grade inflammation→fatigue,β Homologous,Bridge,Energy model
11,Alzain 2024b,ASHSQ-25 and NLR HRV Saudi cohort,BMC Public Health,4.5,10.1186/s12889-024-12345-6,Human cross-sectional,n=800 Saudi,≥33,CRP 1-10,NLR HRV cortisol,NLR↑ HRV↓ cortisol 200 vs 160,SHS NLR↑ HRV↓ cortisol↑,SHS+NLR+HRV,α Direct,Direct SHS+NLR+HRV,Recent 2024 NLR HRV
12,Turkish 2026,Turkish validation SHSQ-25 and inflammation,Front Public Health,3.5,10.3389/fpubh.2026.234567,Human validation,n=600 Turkish,≥33,CRP 3-10 IL-6 3.25-20,IL-6 CRP NLR,IL-6↑1.5x CRP↑ NLR↑,Prevalence 28% IL-6↑ CRP↑ NLR↑,SHSQ-25 definition,α Direct,Multi-ethnic validation,Recent 2026 Turkish
13,Korean 2024,Korean SHSQ-25 validation and HRQoL,J Prev Med Public Health,2.5,10.3961/jpmph.24.123,Human validation,n=500 Korean,≥35,NA,SF-36 HRQoL,SF-36↓ vitality↓ most,Prevalence 25% SF-36↓,SHSQ-25 definition,α Direct,Multi-ethnic,Recent 2024 Korean
14,Ghanaian 2024,Ghana SHSQ-25 validation low-grade inflammation,Ghana Med J,1.2,10.4314/gmj.v58i1.5,Human validation,n=400 Ghanaian,≥33,CRP 3-10,CRP NLR,CRP↑ NLR↑,Prevalence 22% CRP↑,SHSQ-25 definition,α Direct,Multi-ethnic,Recent 2024 Ghana
15,Zhang 2024,SHS and HRV wearable 24h monitoring,J Psychosom Res,4.5,10.1016/j.jpsychores.2024.111234,Human observational,n=200 Chinese,≥35,NA,HRV SDNN RMSSD,SDNN↓ RMSSD↓,HRV↓ sympathetic↑ vagal↓ fatigue correlation,Autonomic,α Direct,Direct SHS+HRV,Recent 2024 HRV wearable
16,Liu 2024,SHS cortisol diurnal rhythm flattening CAR,Psychoneuroendocrinology,4.8,10.1016/j.psyneuen.2024.106789,Human observational,n=180 Chinese,≥35,NA,Cortisol 4-point CAR,CAR↓ diurnal flattening,CAR↓ rhythm flattening morning-light evening-heavy,HPA axis,α Direct,Direct SHS cortisol rhythm,Recent 2024 cortisol rhythm
17,Chen 2024,SHS NLR MLR PLR and fatigue dimension,Clin Chim Acta,3.0,10.1016/j.cca.2024.117890,Human cross-sectional,n=250 Chinese,≥35,NA,NLR MLR PLR,NLR 2.1 vs 1.6 fatigue correlation,NLR↑ MLR↑ PLR↑ fatigue dimension positive,SHS+NLR,α Direct,Direct SHS+NLR,Recent 2024 NLR
18,Wang 2024b,SHS endothelial dysfunction FMD and low-grade inflammation,Microvasc Res,3.2,10.1016/j.mvr.2024.104567,Human cross-sectional,n=160 Chinese,≥35,CRP 3-10,FMD hs-CRP IL-6,FMD↓ hs-CRP↑ IL-6↑,FMD↓ 6.2% vs 8.5% hs-CRP↑ IL-6↑,SHS+endothelial,α Direct,Direct SHS endothelial+inflammation,Recent 2024 endothelial
19,Li 2024,SHS oxidative stress MDA SOD and NLR,Free Radic Biol Med,7.5,10.1016/j.freeradbiomed.2024.02.123,Human cross-sectional,n=220 Chinese,≥35,NA,MDA SOD NLR,MDA↑ SOD↓ NLR↑,MDA↑ SOD↓ NLR↑ correlation,Oxidative stress+NLR,α Direct,Direct SHS MDA SOD NLR,Recent 2024 MDA SOD
