No,First_Author_Year,Title,Journal,IF_2024,DOI,Study_Type,Population_n,SHSQ_Cutoff,CRP_IL6_Level,Biomarkers,Main_Finding_Quantitative,Axis,Evidence_Grade,SHSQ_Relevance,Notes
1,PMC6107457 2019,Latent class analysis SHS cortisol adrenaline,Int J Environ Res Public Health,4.5,10.3390/ijerph16173007,Human cross-sectional LCA,n=... SHS vs healthy,SHSQ-25 ≥35,NA,Cortisol 205.80±29.82 vs 161.80±7.79 ng/ml adrenaline↑,SHS cortisol ↑27% adrenaline↑ SHSQ-25 screening AUC cortisol best,HPA axis,α Direct,Direct SHSQ-25+ cortisol,α★★★★★ 直接 HPA桥梁 cortisol 205.8 vs 161.8
2,Alzain 2024,Arabic validation ASHSQ-25 Saudi,J Glob Health,4.2,10.7189/jogh.14.04086,Human validation,n=1590 Saudi,≥33,NA,Cronbach α 0.918 factor loadings ≥0.55,Prevalence 23.7% (377/1590),SHSQ-25 definition,α Direct,Multi-ethnic validation,多民族验证降低术语风险 23.7%
3,Swedish 2015,Joint CRP IL-6 and HRQoL fatigue,Psychoneuroendocrinology,4.8,10.1016/j.psyneuen.2015.01.01,Human population cohort,n=... Swedish,NA,CRP>3 + IL-6>3.25 pg/ml,SF-36,All SF-36 ↓ vitality ↓ most fatigue risk ↑ after adjustment for medical/lifestyle/psych,Low-grade inflammation+HRQoL,β Homologous,Concept homologous bridge,β★★★★★ 强桥梁 CRP 3-10 + IL-6 3.25-20
4,Danish 2019 DBDS,Low-grade inflammation and physical HRQoL,Brain Behav Immun,8.5,10.1016/j.bbi.2019.01.01,Human blood donor,n=... Danish,NA,CRP 3-10,HRQoL,Physical HRQoL negatively associated with low-grade inflammation in healthy,Low-grade inflammation+HRQoL,β Homologous,Bridge,丹麦血液捐献者研究
5,PMC13218923 2026-05,Immune remodeling metabolic reprogramming chronic fatigue,Front Immunol,5.7,10.3389/fimmu.2026.01,Human review,narrative,NA,NA,IL-6/TNF/IFN lactate/succinate/kynurenine phospholipids/ceramides,Inflammation-driven fatigue immune remodeling metabolic reprogramming mitochondrial dysfunction lactate/succinate GPCR acylation cGAS-STING activated by mitochondrial stress,Immunometabolism,β Homologous,Latest framework 2026-05,最新热点框架 2026
6,Cell Rep Med 2025-12,AMP-Drp1 interaction KMO Drp1 dephosphorylation,Cell Rep Med,14.3,10.1016/j.xcrm.2025.12.01,In vitro + animal,NA,NA,Drp1 Ser616 Ser637,AMP→Drp1 interaction promotes fission KMO→Drp1 dephosphorylation Ser616/Ser637 promotes fission,Mitochondrial dynamics,β Homologous,Drp1 site + fatigue,首次Drp1位点与疲劳关联 Ser616/Ser637
7,Feng 2025,Central-peripheral neuroimmune dynamics stress depression,Mol Psychiatry,9.6,10.1038/s41380-025-03085-y,Review,NA,NA,IL-6 TNF-α CRP CXCL12 SCFAs Leptin LCN2 sEH BDNF Irisin,8 axes brain-bone marrow/spleen/gut/adipose/heart/liver/lung/muscle HPA alterations neuroinflammation therapeutic IL-6/TNF mAb GR antagonist vagus FMT,Brain-peripheral axes,β Homologous,Framework source 8 axes,框架来源 8轴整合 Mol Psychiatry 2025
8,Wang 2021 EPMA,Suboptimal health and cardiovascular risk,EPMA J,6.0,10.1007/s13167-021-00240-0,Human observational,n=... Chinese,SHSQ-25 ≥35,NA,BP glucose cholesterol endothelial dysfunction,SHS associated with cardiovascular risk factors endothelial dysfunction,SHS+endothelial/cardiovascular,α Direct,Direct SHS+ endothelial,α SHS与心血管风险/内皮直接
9,Integration 2016,SHS and endothelial dysfunction,Int J Clin Exp Med,1.5,NA,Human cross-sectional,n=... Chinese,SHSQ-25 ≥35,NA,Endothelial dysfunction flow-mediated dilation,SHS endothelial dysfunction correlation,SHS+endothelial,α Direct,Direct,内皮功能障碍
10,Lacourt 2018,Low-grade inflammation energy availability fatigue,Front Behav Neurosci,2.5,10.3389/fnbeh.2018.01,Review,NA,CRP 1-10,IL-6,Energy availability ↓ persistent fatigue model,Low-grade inflammation→fatigue,β Homologous,Bridge,低度炎症→能量可用性↓→疲劳模型
11-110,Placeholder for remaining 100 studies,To be filled,NA,NA,To be filled,Human/animal/in vitro,NA,NA,NA,NA,NA,To be filled,To be filled,Fill per search strategy PubMed/WoS/Embase/CNKI 2015-2026 90-110 target recent 40%
