编号,类型,年份,标题,期刊/出版社,作者,DOI,PMID,原始条目
1,期刊,2007,A systematic review on ankle injury and ankle sprain in sports,Sports Med,"Fong DT, Hong Y, Chan LK, et al",10.2165/00007256-200737010-00006,17190537,"Fong DT, Hong Y, Chan LK, et al. A systematic review on ankle injury and ankle sprain in sports[J]. *Sports Med*, 2007, 37(1): 73-94. DOI: 10.2165/00007256-200737010-00006. PMID: 17190537."
2,期刊,2010,Sterile inflammation: sensing and reacting to damage,Nat Rev Immunol,"Chen GY, Nuñez G",10.1038/nri2873,21088683,"Chen GY, Nuñez G. Sterile inflammation: sensing and reacting to damage[J]. *Nat Rev Immunol*, 2010, 10(12): 826-837. DOI: 10.1038/nri2873. PMID: 21088683."
3,期刊,2020,Oral non-steroidal anti-inflammatory drugs versus other oral analgesic agents for acute soft tissue injury,Cochrane Database Syst Rev,"Jones P, Lamdin R, Dalziel SR",10.1002/14651858.CD007789.pub3,32797734,"Jones P, Lamdin R, Dalziel SR. Oral non-steroidal anti-inflammatory drugs versus other oral analgesic agents for acute soft tissue injury[J]. *Cochrane Database Syst Rev*, 2020, 8: CD007789. DOI: 10.1002/14651858.CD007789.pub3. PMID: 32797734."
4,期刊,2020,中药单体化合物诱导巨噬细胞表型极化的作用机制综述,中国药房,"周静, 杨林, 王建华, 等",10.6039/j.issn.1001-0408.2020.15.22,,"周静, 杨林, 王建华, 等. 中药单体化合物诱导巨噬细胞表型极化的作用机制综述. *中国药房*, 2020, 31(15): 1888-1894. DOI: 10.6039/j.issn.1001-0408.2020.15.22"
5,期刊,2024,Traditional Chinese medicine in regulating macrophage polarization in immune response of inflammatory diseases,J Ethnopharmacol,"Chen S, Zeng J, Li R, Zhang Y, Tao Y, Hou Y, Yang L, Zhang Y, Wu J, Meng X",10.1016/j.jep.2024.117838,,"Chen S, Zeng J, Li R, Zhang Y, Tao Y, Hou Y, Yang L, Zhang Y, Wu J, Meng X. Traditional Chinese medicine in regulating macrophage polarization in immune response of inflammatory diseases. *J Ethnopharmacol*, 2024, 325: 117838. DOI: 10.1016/j.jep.2024.117838"
6,期刊,2025,Zhi-Huang plaster alleviates acute soft tissue injury by promoting chemotaxis of regulatory T cells,J Ethnopharmacol,"Zhang C, Liu Y, Xu J, Li W, Zhou X, Ye Y, Lei Y, Yan S, Zhou Q, Lyu C, Cai Z, Hong Y, Yang Y",10.1016/j.jep.2025.119925,40334759,"Zhang C, Liu Y, Xu J, Li W, Zhou X, Ye Y, Lei Y, Yan S, Zhou Q, Lyu C, Cai Z, Hong Y, Yang Y. Zhi-Huang plaster alleviates acute soft tissue injury by promoting chemotaxis of regulatory T cells. *J Ethnopharmacol*, 2025, 349: 119925. DOI: 10.1016/j.jep.2025.119925. PMID: 40334759."
7,期刊,2016,"Macrophages in tissue repair, regeneration, and fibrosis",Immunity,"Wynn TA, Vannella KM",10.1016/j.immuni.2016.02.015,26982353,"Wynn TA, Vannella KM. Macrophages in tissue repair, regeneration, and fibrosis[J]. *Immunity*, 2016, 44(3): 450-462. DOI: 10.1016/j.immuni.2016.02.015. PMID: 26982353."
8,期刊,2016,Transition from inflammation to proliferation: a critical step during wound healing,Cell Mol Life Sci,"Landén NX, Li D, Ståhle M",10.1007/s00018-016-2268-0,27180275,"Landén NX, Li D, Ståhle M. Transition from inflammation to proliferation: a critical step during wound healing[J]. *Cell Mol Life Sci*, 2016, 73(20): 3861-3885. DOI: 10.1007/s00018-016-2268-0. PMID: 27180275."
9,期刊,2016,Immunometabolism governs dendritic cell and macrophage function,J Exp Med,"O'Neill LA, Pearce EJ",10.1084/jem.20151570,,"O'Neill LA, Pearce EJ. Immunometabolism governs dendritic cell and macrophage function. *J Exp Med*, 2016, 213(1): 15-23. DOI: 10.1084/jem.20151570"
10,期刊,2020,Targeting immunometabolism as an anti-inflammatory strategy,Cell Res,"Pålsson-McDermott EM, O'Neill LAJ",10.1038/s41422-020-0291-z,32132672,"Pålsson-McDermott EM, O'Neill LAJ. Targeting immunometabolism as an anti-inflammatory strategy[J]. *Cell Res*, 2020, 30(4): 300-314. DOI: 10.1038/s41422-020-0291-z. PMID: 32132672."
